PartitionKey,RowKey,Timestamp,FlavourStorageType,FlavourStorageType@type,Name,Name@type,OrganizationStorages_ObjectIDB,OrganizationStorages_ObjectIDB@type,StorageIdentity,StorageIdentity@type,TypeID,TypeID@type,Url,Url@type
1,7CEA44C2-6BBA-4305-A80B-0A94006F11B5,2019-05-05T11:37:57.233Z,4,Edm.Int32,Marzano Phone,Edm.String,c8d9dcab-a1ce-4b1b-870c-b9f049b5fbaf,Edm.Guid,0bb39514-b297-436c-8554-c5e5a52486ac,Edm.String,3,Edm.Int32,usersfolder/ykCR5c6aHVUUpGJ8J7ZqpLLY97i1/Marzano Phone.xml,Edm.String
1,9a9b6a7c-7578-407a-9f26-9899b7d38863,2019-05-05T12:13:07.107Z,0,Edm.Int32,RestaurantMenuData,Edm.String,c8d9dcab-a1ce-4b1b-870c-b9f049b5fbaf,Edm.Guid,7021ec91-37df-4417-8c1a-a6afb012fd09,Edm.String,3,Edm.Int32,usersfolder/ykCR5c6aHVUUpGJ8J7ZqpLLY97i1/RestaurantMenuData.xml,Edm.String
